2026-03-23 00:02:57,033 | INFO     | pipeline | === Training Pipeline | horizon=5d | 16 symbols ===
2026-03-23 00:02:57,038 | INFO     | pipeline | === Stage 1: Pattern Transformer Pre-training ===
2026-03-23 00:02:58,630 | INFO     | pipeline | PyTorch 2.10.0+cpu detected — building Pattern Transformer
2026-03-23 00:02:58,640 | INFO     | transformer_pipeline | [transformer] === Stage 1: Pre-training on full market corpus ===
2026-03-23 00:02:58,656 | INFO     | pattern_dataset | [corpus] VNM: 780 sequences  up=46.5%  down=53.5%
2026-03-23 00:02:58,666 | INFO     | pattern_dataset | [corpus] VIC: 815 sequences  up=50.6%  down=49.4%
2026-03-23 00:02:58,677 | INFO     | pattern_dataset | [corpus] HPG: 801 sequences  up=53.2%  down=46.8%
2026-03-23 00:02:58,689 | INFO     | pattern_dataset | [corpus] VCB: 768 sequences  up=48.6%  down=51.4%
2026-03-23 00:02:58,700 | INFO     | pattern_dataset | [corpus] FPT: 790 sequences  up=53.2%  down=46.8%
2026-03-23 00:02:58,711 | INFO     | pattern_dataset | [corpus] MWG: 792 sequences  up=53.9%  down=46.1%
2026-03-23 00:02:58,722 | INFO     | pattern_dataset | [corpus] MSN: 797 sequences  up=49.4%  down=50.6%
2026-03-23 00:02:58,731 | INFO     | pattern_dataset | [corpus] TCB: 791 sequences  up=54.4%  down=45.6%
2026-03-23 00:02:58,741 | INFO     | pattern_dataset | [corpus] SSI: 796 sequences  up=55.2%  down=44.8%
2026-03-23 00:02:58,753 | INFO     | pattern_dataset | [corpus] GAS: 784 sequences  up=49.1%  down=50.9%
2026-03-23 00:02:58,763 | INFO     | pattern_dataset | [corpus] PLX: 787 sequences  up=52.0%  down=48.0%
2026-03-23 00:02:58,774 | INFO     | pattern_dataset | [corpus] SAB: 798 sequences  up=43.4%  down=56.6%
2026-03-23 00:02:58,783 | INFO     | pattern_dataset | [corpus] VHM: 812 sequences  up=49.9%  down=50.1%
2026-03-23 00:02:58,784 | WARNING  | pattern_dataset | [corpus] HPA: too short (26 rows), skipping
2026-03-23 00:02:58,795 | INFO     | pattern_dataset | [corpus] SHS: 804 sequences  up=52.2%  down=47.8%
2026-03-23 00:02:58,805 | INFO     | pattern_dataset | [corpus] VGI: 785 sequences  up=51.1%  down=48.9%
2026-03-23 00:02:58,809 | INFO     | pattern_dataset | [corpus] Total: 11700 sequences across 16 symbols  up=50.0%
2026-03-23 00:02:58,813 | INFO     | pattern_dataset | [corpus] Saved to data\cache\pattern_corpus.pkl
2026-03-23 00:02:58,813 | INFO     | transformer_pipeline | [transformer] Corpus split: train=8190, val=1755, test=1755
2026-03-23 00:06:20,817 | INFO     | transformer_pipeline | [transformer] Pre-train TEST: AUC=0.5715  Acc=0.5299
2026-03-23 00:06:20,826 | INFO     | transformer_pipeline | [transformer] Pre-trained model saved to models\pretrained_transformer
2026-03-23 00:06:20,826 | INFO     | pipeline | Pattern Transformer pre-train AUC: 0.5715
2026-03-23 00:06:20,826 | INFO     | pipeline | === Stage 2: Per-symbol training ===
2026-03-23 00:06:20,827 | INFO     | pipeline | --- VNM -----------------------------------
2026-03-23 00:06:20,887 | INFO     | features | Feature matrix: 738 rows × 108 columns
2026-03-23 00:06:20,893 | INFO     | target_engineering |   Vol-adjusted labels: 67.3% of rows kept (threshold=0.3x daily vol, dropped 32.7% near-zero moves)
2026-03-23 00:06:20,896 | INFO     | target_engineering |   Vol-adjusted labels: 79.9% of rows kept (threshold=0.3x daily vol, dropped 20.1% near-zero moves)
2026-03-23 00:06:20,898 | INFO     | target_engineering |   Vol-adjusted labels: 82.8% of rows kept (threshold=0.3x daily vol, dropped 17.2% near-zero moves)
2026-03-23 00:06:20,900 | INFO     | target_engineering |   Vol-adjusted labels: 86.7% of rows kept (threshold=0.3x daily vol, dropped 13.3% near-zero moves)
2026-03-23 00:06:20,914 | INFO     | pipeline |   Splits: train=429, val=91, test=91
2026-03-23 00:06:21,215 | INFO     | target_engineering |   Feature selection: kept 40/99 features (dropped 59 low-importance)
2026-03-23 00:06:21,216 | INFO     | tuner | Tuning XGBoost (60 trials)...
2026-03-23 00:06:36,406 | INFO     | tuner | XGB best AUC: 0.6851  params={'n_estimators': 765, 'max_depth': 4, 'learning_rate': 0.23852397672973377, 'subsample': 0.7755435003020466, 'colsample_bytree': 0.925420956297416, 'min_child_weight': 1, 'gamma': 0.6993818871515775, 'reg_alpha': 0.11409223716865699, 'reg_lambda': 0.745708503335342, 'eval_metric': 'logloss', 'random_state': 42, 'n_jobs': -1}
2026-03-23 00:06:36,407 | INFO     | tuner | Tuning LightGBM (60 trials)...
2026-03-23 00:06:39,098 | INFO     | tuner | LGBM best AUC: 0.7267  params={'n_estimators': 716, 'num_leaves': 64, 'learning_rate': 0.11598357873217355, 'feature_fraction': 0.6205775040851848, 'bagging_fraction': 0.7611025219428553, 'bagging_freq': 2, 'min_child_samples': 13, 'reg_alpha': 1.5574794692919498, 'reg_lambda': 1.4298606848914297, 'random_state': 42, 'n_jobs': -1, 'verbose': -1}
2026-03-23 00:06:39,099 | INFO     | tuner | Tuning LSTM (30 trials)...
2026-03-23 00:08:27,474 | INFO     | tuner | LSTM best AUC: 0.9295  params={'units_1': 50, 'units_2': 38, 'dropout': 0.10180576618212395, 'learning_rate': 0.002710597352853086, 'batch_size': 64, 'epochs': 36}
2026-03-23 00:08:27,475 | INFO     | models |   Fitting xgb…
2026-03-23 00:08:27,819 | INFO     | models |   Fitting lgbm…
2026-03-23 00:08:27,891 | INFO     | models |   Fitting lstm…
2026-03-23 00:08:30,502 | INFO     | transformer_pipeline | [transformer] Fine-tuning on VNM...
2026-03-23 00:08:30,845 | INFO     | transformer_pipeline | [transformer] VNM: transferred pre-trained weights
2026-03-23 00:08:43,994 | INFO     | transformer_pipeline | [transformer] VNM fine-tune TEST: AUC=0.4866  Acc=0.5043
2026-03-23 00:08:44,320 | INFO     | pipeline |   Transformer val predictions ready: 91 samples
2026-03-23 00:08:44,336 | INFO     | tuner | Tuning 4-model ensemble weights (XGB+LGBM+LSTM+Transformer)...
2026-03-23 00:08:45,075 | INFO     | tuner | 4-model weights: {'xgb': 0.08590280460367561, 'lgbm': 0.4936326713760738, 'lstm': 0.3282224436735415, 'transformer': 0.09224208034670908}  AUC=0.7511
2026-03-23 00:08:45,090 | INFO     | pipeline |   TEST VNM  AUC=0.6363  Acc=0.6154
2026-03-23 00:08:45,103 | INFO     | models | Saved ensemble for VNM h=5
2026-03-23 00:08:45,108 | INFO     | pipeline | --- VIC -----------------------------------
2026-03-23 00:08:45,180 | INFO     | features | Feature matrix: 737 rows × 108 columns
2026-03-23 00:08:45,183 | INFO     | target_engineering |   Vol-adjusted labels: 60.0% of rows kept (threshold=0.3x daily vol, dropped 40.0% near-zero moves)
2026-03-23 00:08:45,185 | INFO     | target_engineering |   Vol-adjusted labels: 80.9% of rows kept (threshold=0.3x daily vol, dropped 19.1% near-zero moves)
2026-03-23 00:08:45,187 | INFO     | target_engineering |   Vol-adjusted labels: 87.0% of rows kept (threshold=0.3x daily vol, dropped 13.0% near-zero moves)
2026-03-23 00:08:45,189 | INFO     | target_engineering |   Vol-adjusted labels: 88.3% of rows kept (threshold=0.3x daily vol, dropped 11.7% near-zero moves)
2026-03-23 00:08:45,199 | INFO     | pipeline |   Splits: train=449, val=96, test=96
2026-03-23 00:08:45,355 | INFO     | target_engineering |   Feature selection: kept 40/99 features (dropped 59 low-importance)
2026-03-23 00:08:45,356 | INFO     | tuner | Tuning XGBoost (60 trials)...
2026-03-23 00:08:55,596 | INFO     | tuner | XGB best AUC: 0.6673  params={'n_estimators': 131, 'max_depth': 3, 'learning_rate': 0.2612784193823644, 'subsample': 0.672835204087782, 'colsample_bytree': 0.6014928123428049, 'min_child_weight': 2, 'gamma': 0.8598184073073476, 'reg_alpha': 0.005554022007614363, 'reg_lambda': 0.9824264179935385, 'eval_metric': 'logloss', 'random_state': 42, 'n_jobs': -1}
2026-03-23 00:08:55,597 | INFO     | tuner | Tuning LightGBM (60 trials)...
2026-03-23 00:08:58,202 | INFO     | tuner | LGBM best AUC: 0.6607  params={'n_estimators': 674, 'num_leaves': 132, 'learning_rate': 0.01236259114471833, 'feature_fraction': 0.9354815749132643, 'bagging_fraction': 0.6821777814421296, 'bagging_freq': 6, 'min_child_samples': 33, 'reg_alpha': 0.11201671152803686, 'reg_lambda': 0.9360076926055961, 'random_state': 42, 'n_jobs': -1, 'verbose': -1}
2026-03-23 00:08:58,202 | INFO     | tuner | Tuning LSTM (30 trials)...
2026-03-23 00:10:33,271 | INFO     | tuner | LSTM best AUC: 0.7370  params={'units_1': 162, 'units_2': 86, 'dropout': 0.49550127825342277, 'learning_rate': 0.00038744043279536467, 'batch_size': 64, 'epochs': 80}
2026-03-23 00:10:33,271 | INFO     | models |   Fitting xgb…
2026-03-23 00:10:33,344 | INFO     | models |   Fitting lgbm…
2026-03-23 00:10:33,373 | INFO     | models |   Fitting lstm…
2026-03-23 00:10:35,443 | INFO     | transformer_pipeline | [transformer] Fine-tuning on VIC...
2026-03-23 00:10:35,670 | INFO     | transformer_pipeline | [transformer] VIC: transferred pre-trained weights
